Fitting 5 folds for each of 110 candidates, totalling 550 fits

Best parameters set found on development set:

{'kernel': 'poly', 'C': 16, 'degree': 3}

Grid scores on development set:

mean 	std 		params
0.388 (+/-0.005) for {'kernel': 'poly', 'C': 0.015625, 'degree': 1}
0.388 (+/-0.005) for {'kernel': 'poly', 'C': 0.015625, 'degree': 2}
0.379 (+/-0.032) for {'kernel': 'poly', 'C': 0.015625, 'degree': 3}
0.393 (+/-0.017) for {'kernel': 'poly', 'C': 0.0625, 'degree': 1}
0.379 (+/-0.032) for {'kernel': 'poly', 'C': 0.0625, 'degree': 2}
0.379 (+/-0.032) for {'kernel': 'poly', 'C': 0.0625, 'degree': 3}
0.469 (+/-0.105) for {'kernel': 'poly', 'C': 0.25, 'degree': 1}
0.371 (+/-0.047) for {'kernel': 'poly', 'C': 0.25, 'degree': 2}
0.402 (+/-0.059) for {'kernel': 'poly', 'C': 0.25, 'degree': 3}
0.464 (+/-0.104) for {'kernel': 'poly', 'C': 1, 'degree': 1}
0.402 (+/-0.042) for {'kernel': 'poly', 'C': 1, 'degree': 2}
0.487 (+/-0.046) for {'kernel': 'poly', 'C': 1, 'degree': 3}
0.473 (+/-0.162) for {'kernel': 'poly', 'C': 4, 'degree': 1}
0.411 (+/-0.077) for {'kernel': 'poly', 'C': 4, 'degree': 2}
0.491 (+/-0.054) for {'kernel': 'poly', 'C': 4, 'degree': 3}
0.478 (+/-0.184) for {'kernel': 'poly', 'C': 16, 'degree': 1}
0.415 (+/-0.151) for {'kernel': 'poly', 'C': 16, 'degree': 2}
0.518 (+/-0.096) for {'kernel': 'poly', 'C': 16, 'degree': 3}
0.491 (+/-0.171) for {'kernel': 'poly', 'C': 64, 'degree': 1}
0.451 (+/-0.159) for {'kernel': 'poly', 'C': 64, 'degree': 2}
0.504 (+/-0.087) for {'kernel': 'poly', 'C': 64, 'degree': 3}
0.473 (+/-0.166) for {'kernel': 'poly', 'C': 256, 'degree': 1}
0.455 (+/-0.211) for {'kernel': 'poly', 'C': 256, 'degree': 2}
0.482 (+/-0.126) for {'kernel': 'poly', 'C': 256, 'degree': 3}
0.473 (+/-0.132) for {'kernel': 'poly', 'C': 1024, 'degree': 1}
0.438 (+/-0.226) for {'kernel': 'poly', 'C': 1024, 'degree': 2}
0.460 (+/-0.117) for {'kernel': 'poly', 'C': 1024, 'degree': 3}
0.473 (+/-0.132) for {'kernel': 'poly', 'C': 4096, 'degree': 1}
0.420 (+/-0.130) for {'kernel': 'poly', 'C': 4096, 'degree': 2}
0.446 (+/-0.090) for {'kernel': 'poly', 'C': 4096, 'degree': 3}
0.469 (+/-0.133) for {'kernel': 'poly', 'C': 16384, 'degree': 1}
0.451 (+/-0.155) for {'kernel': 'poly', 'C': 16384, 'degree': 2}
0.438 (+/-0.080) for {'kernel': 'poly', 'C': 16384, 'degree': 3}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.015625, 'gamma': 6.103515625e-05}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.015625, 'gamma': 0.000244140625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.015625, 'gamma': 0.0009765625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.015625, 'gamma': 0.00390625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.015625, 'gamma': 0.015625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.015625, 'gamma': 0.0625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.015625, 'gamma': 0.25}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.0625, 'gamma': 6.103515625e-05}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.0625, 'gamma': 0.000244140625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.0625, 'gamma': 0.0009765625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.0625, 'gamma': 0.00390625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.0625, 'gamma': 0.015625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.0625, 'gamma': 0.0625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.0625, 'gamma': 0.25}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.25, 'gamma': 6.103515625e-05}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.25, 'gamma': 0.000244140625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.25, 'gamma': 0.0009765625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 0.25, 'gamma': 0.00390625}
0.397 (+/-0.019) for {'kernel': 'rbf', 'C': 0.25, 'gamma': 0.015625}
0.451 (+/-0.064) for {'kernel': 'rbf', 'C': 0.25, 'gamma': 0.0625}
0.429 (+/-0.041) for {'kernel': 'rbf', 'C': 0.25, 'gamma': 0.25}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 1, 'gamma': 6.103515625e-05}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 1, 'gamma': 0.000244140625}
0.388 (+/-0.005) for {'kernel': 'rbf', 'C': 1, 'gamma': 0.0009765625}
